NPAID,Name,m/z,CCS,Adduct
NPA000001,Curvularide C,357.2526,223.98767,M-2H
NPA000002,Homopetasinic acid,414.2053,240.92726,M-2H
NPA000003,A-503083 F,500.1037,231.46526,M-2H
NPA000004,Aqabamycin E2,323.0553,207.66652,M-2H
NPA000005,Hymenopsin A,390.2053,231.076,M-2H
NPA000007,Chaetoxanthone A,368.0907,228.61345,M-2H
NPA000008,Dihydroxydione 13,419.2141,239.05855,M-2H
NPA000009,Viticolin B,224.0331,180.54915,M-2H
NPA000010,Botryorhodine G,330.075,206.33737,M-2H
NPA000011,Pestapyrone B,236.0331,179.79637,M-2H
NPA000012,Spiroleptosphol B,334.1791,216.49492,M-2H
NPA000013,Not named,289.1325,199.2614,M-2H
NPA000014,Falconensone A,308.1787,216.14427,M-2H
NPA000016,Semiplenamide B,405.3253,239.11656,M-2H
NPA000017,Macrolactin P,576.2945,260.52457,M-2H
NPA000018,Lolicine A,601.3778,287.8538,M-2H
NPA000019,Terreulactone C,466.2002,243.98044,M-2H
NPA000020,3-methyl xanthopurpurin 6-O-methyl ether 8-O-β-D-gentiobioside,590.1646,261.49283,M-2H
NPA000021,Cardinalin 8,580.2319,265.94473,M-2H
NPA000022,Melithiazol B,418.1031,228.1917,M-2H
NPA000023,3R-(+)-5-O-[6'-O-acetyl]-α-D-glucopyranosyl-5-hydroxymellein,396.1067,220.43231,M-2H
NPA000024,3097-B1,277.1325,201.63916,M-2H
NPA000025,Boletopsin 12,464.1118,240.38971,M-2H
NPA000026,Rhodobacterioxanthin,608.424,289.50726,M-2H
NPA000027,Beauvericin E,733.3949,294.4774,M-2H
NPA000028,"2,3-dihydroxy-N-methoxy-6-propylbenzamide",223.0855,180.59117,M-2H
NPA000029,Daryamide C,316.1434,207.20966,M-2H
NPA000030,"3α,6β,16β,17,18-pentahydroxyaphidicolane",352.226,221.59856,M-2H
NPA000031,Quinine,322.1692,210.56981,M-2H
NPA000032,Cyclo(4-hydroxy-R-Pro-S-Leu),224.1171,189.74954,M-2H
NPA000033,Pyrrospirone A,503.2682,246.11641,M-2H
NPA000034,5-demethoxyfumagillol,250.1579,196.16286,M-2H
NPA000035,Talapolyester C,498.1748,250.05898,M-2H
NPA000036,Amamistatin B,713.3646,297.46713,M-2H
NPA000037,Lajollamycin,685.3585,287.14005,M-2H
NPA000038,AHB-6-Methylneamine,435.234,226.7642,M-2H
NPA000039,Formycin B,266.0662,190.35616,M-2H
NPA000041,Not named,194.0953,184.62277,M-2H
NPA000042,Nocazine C,334.1328,219.20605,M-2H
NPA000043,Agripilol A,270.1842,199.81274,M-2H
NPA000044,Not named,290.0801,208.10016,M-2H
NPA000045,Z-4-2,201.0436,171.88629,M-2H
NPA000046,Maltophilin,508.2584,256.55295,M-2H
NPA000047,Lasalocid (X 537 A),588.3673,274.82132,M-2H
NPA000048,Pestalamide C,270.1015,194.91844,M-2H
NPA000049,Not named,502.1122,252.85838,M-2H
NPA000050,ƞ-Isorhodomycinone,406.0699,233.64345,M-2H
NPA000051,Vermelhotin,215.0593,187.89778,M-2H
NPA000052,Varioxiranediol,278.1165,208.32744,M-2H
NPA000053,Xentrivalpeptide C,795.4541,311.55173,M-2H
NPA000054,"[Asp3, ADMAdda5, Dhb7] microcystin RR",1049.5305,338.49893,M-2H
NPA000055,Oxachelin,633.2405,267.6401,M-2H
NPA000056,Brasilane A,423.2631,240.82362,M-2H
NPA000057,Terrecoumarin C,242.0953,187.98262,M-2H
NPA000058,GE23077 A1/A2,801.3151,288.99246,M-2H
NPA000059,Farneside A,464.2533,248.63869,M-2H
NPA000060,Isoaurostatin,252.0433,194.05724,M-2H
NPA000061,BCA 1,364.226,220.58992,M-2H
NPA000062,7a-acetoxy-15-methoxy-10-O-methyl-deacetyldihydrobotrydial,370.2002,223.44945,M-2H
NPA000063,Aspochalasin O,455.2682,258.22256,M-2H
NPA000064,EH21A14,502.269,263.25577,M-2H
NPA000065,Kipukasin I,406.1023,224.14067,M-2H
NPA000066,6-deoxyaflaquinolone D,267.0906,192.86714,M-2H
NPA000067,Conioxepinol B,302.0437,202.66064,M-2H
NPA000068,JBIR-82,492.3111,258.99518,M-2H
NPA000069,"(5R,5aS,9R,9aR,9bR)-9,9b-dihydroxy-6,6,9a-trimethyl-1-oxo-1,3,5,5a,6,7,8,9,9a,9b-decahydronaphtho[1,2-c]furan-5-yl hexanoate",378.2053,226.25761,M-2H
NPA000070,Etrogol,204.1161,181.35442,M-2H
NPA000071,Inflatin B,482.2679,250.3463,M-2H
NPA000072,Pyramidamycin B,181.0386,176.79012,M-2H
NPA000073,5-Chloro-w-hydroxyemodin,317.9942,199.1992,M-2H
NPA000074,Laxaphycin B,1392.8239,397.85687,M-2H
NPA000075,Stachybocin E,822.483,305.9145,M-2H
NPA000076,Xanthoquinodin A3,570.1173,254.87863,M-2H
NPA000077,(-)-acetodalmanol B,552.1431,274.84988,M-2H
NPA000078,Clavirolide A,330.1842,211.55595,M-2H
NPA000079,25-Methylpisolactone,482.377,251.23134,M-2H
NPA000080,Not named,423.2784,241.18141,M-2H
NPA000081,Macrosphelide D,340.1169,213.00372,M-2H
NPA000082,Communesin E,438.243,235.90446,M-2H
NPA000083,Oxydifficidin,558.2757,255.07127,M-2H
NPA000084,Talaroketal A,624.1642,281.74524,M-2H
NPA000085,Pestalafuranone H,206.059,175.40141,M-2H
NPA000086,Boletinin E,402.2417,224.51933,M-2H
NPA000087,Aranciamycin anhydride,722.1857,288.9755,M-2H
NPA000088,Blazeispirol X,436.2624,251.77841,M-2H
NPA000089,Shearinine E,597.3101,278.17477,M-2H
NPA000090,Oxalicumone D,408.0526,218.77353,M-2H
NPA000091,Cyclonerodiol,238.1943,193.89226,M-2H
NPA000092,"2-(1',5'-heptadienyl)-3,6-dihydroxy-5-(3""-methyl-2""-butenyl)benzaldehyde",298.1579,211.20656,M-2H
NPA000093,6-hydroxychrolactomycin,446.1951,243.18713,M-2H
NPA000094,"(4S)-2,4-dimethyl-5-oxo-2,5-dihydrofuran-3-carboxylic acid",154.0277,167.27748,M-2H
NPA000095,Penicibrocazine C,452.1086,231.57558,M-2H
NPA000096,Vanillobiocin,656.142,277.6118,M-2H
NPA000097,Ascomycone A,300.0644,205.13423,M-2H
NPA000098,Koninginin J,294.1478,203.68059,M-2H
NPA000099,Preussidone,352.0957,221.19112,M-2H
NPA000100,Hebelophyllene C,264.1372,210.52489,M-2H
NPA000101,Allocyathin A4,330.1842,217.25298,M-2H
NPA000102,Methylspinazarin,234.0175,179.26915,M-2H
NPA000103,Chloriolin C,440.1976,241.66641,M-2H
NPA000104,Cohaerin B,452.1846,237.3098,M-2H
NPA000105,Epothilone E,507.2301,262.2485,M-2H
NPA000106,Petchiether A,358.1791,219.58766,M-2H
NPA000107,Oxaloterpin D,357.2314,223.51613,M-2H
NPA000108,Sesquicillin B,498.2628,248.68999,M-2H
NPA000109,SCH 64879,896.6599,328.89362,M-2H
NPA000110,Not named,761.295,298.6047,M-2H
NPA000111,Armochaetoglobin N,509.2689,258.62775,M-2H
NPA000112,(-)-ganoapplanatumine A,255.0906,193.19252,M-2H
NPA000113,Leptofuranin B,524.3512,264.44168,M-2H
NPA000114,Parmosidone A,372.0492,213.28168,M-2H
NPA000115,Hinakurin,564.1067,260.1937,M-2H
NPA000116,Carzinophilin,637.1918,265.9411,M-2H
NPA000117,Arisugacin F,436.226,242.44565,M-2H
NPA000118,UCF-116-A,646.3265,294.99057,M-2H
NPA000120,Ushikulide A,706.4666,299.78128,M-2H
NPA000121,Sporidesmin B,455.0387,238.11395,M-2H
NPA000122,Dehydrofusaric acid,175.0644,174.662,M-2H
NPA000123,Zaragozic acid D2,704.3055,282.99557,M-2H
NPA000124,Luteusin D,458.1507,248.85721,M-2H
NPA000125,Sulphureuine G,254.1892,197.25694,M-2H
NPA000126,Syringolin H,507.3067,255.4731,M-2H
NPA000127,Isocycloheximide,279.1481,198.64487,M-2H
NPA000128,Panglimycin E,340.0957,209.24017,M-2H
NPA000129,Hypocrenone A,256.111,187.47993,M-2H
NPA000130,Rubiginosin B,400.1169,226.25414,M-2H
NPA000131,Platensimycin A6 methyl ester,471.1904,238.20845,M-2H
NPA000132,Prolipyrone B,208.0382,181.11919,M-2H
NPA000133,Penicillither,394.0466,220.30855,M-2H
NPA000134,(12R)-12-hydroxymonocerin,322.1063,221.10016,M-2H
NPA000135,Clavaminic acid,196.0495,178.96394,M-2H
NPA000136,Inoterpene E,472.3563,261.4611,M-2H
NPA000137,VM-55599,347.2008,221.99919,M-2H
NPA000138,F-11334-B1,192.0797,178.82495,M-2H
NPA000139,Petrobactin sulfonate,782.2803,284.55286,M-2H
NPA000140,Tensyuic acid C,270.1114,196.03389,M-2H
NPA000141,SW-163B,654.2435,284.53284,M-2H
NPA000142,Phomadecalin B,304.1321,202.87337,M-2H
NPA000143,Terricollene B,336.122,210.00137,M-2H
NPA000144,6’-dehydroxytrichoverrin B,514.2577,258.2617,M-2H
NPA000145,Flagranone A,454.2002,243.49852,M-2H
NPA000146,Oblongolide O,234.1266,189.03145,M-2H
NPA000147,Sterenin M,495.1904,248.27168,M-2H
NPA000148,Indole-3-acetyl-epsilon-L-lysine,301.1437,197.0786,M-2H
NPA000149,Clonoamide,249.1739,199.18364,M-2H
NPA000150,Paecilomycin K,362.1376,223.79543,M-2H
