NPAID,Name,m/z,CCS,Adduct,URL
NPA000001,Curvularide C,358.2599,191.10432,M-H,https://www.npatlas.org/explore/compounds/NPA000001
NPA000002,Homopetasinic acid,415.2126,207.68568,M-H,https://www.npatlas.org/explore/compounds/NPA000002
NPA000003,A-503083 F,501.111,198.58208,M-H,https://www.npatlas.org/explore/compounds/NPA000003
NPA000004,Aqabamycin E2,324.0626,171.66739,M-H,https://www.npatlas.org/explore/compounds/NPA000004
NPA000005,Hymenopsin A,391.2126,197.83415,M-H,https://www.npatlas.org/explore/compounds/NPA000005
NPA000007,Chaetoxanthone A,369.098,195.72937,M-H,https://www.npatlas.org/explore/compounds/NPA000007
NPA000008,Dihydroxydione 13,420.2214,206.07181,M-H,https://www.npatlas.org/explore/compounds/NPA000008
NPA000009,Viticolin B,225.0404,146.76627,M-H,https://www.npatlas.org/explore/compounds/NPA000009
NPA000010,Botryorhodine G,331.0823,172.02957,M-H,https://www.npatlas.org/explore/compounds/NPA000010
NPA000011,Pestapyrone B,237.0404,146.51936,M-H,https://www.npatlas.org/explore/compounds/NPA000011
NPA000012,Spiroleptosphol B,335.1864,183.25545,M-H,https://www.npatlas.org/explore/compounds/NPA000012
NPA000013,Not named,290.1398,166.15685,M-H,https://www.npatlas.org/explore/compounds/NPA000013
NPA000014,Falconensone A,309.186,182.30814,M-H,https://www.npatlas.org/explore/compounds/NPA000014
NPA000016,Semiplenamide B,406.3326,205.36789,M-H,https://www.npatlas.org/explore/compounds/NPA000016
NPA000017,Macrolactin P,577.3018,226.75307,M-H,https://www.npatlas.org/explore/compounds/NPA000017
NPA000018,Lolicine A,602.3851,253.98734,M-H,https://www.npatlas.org/explore/compounds/NPA000018
NPA000019,Terreulactone C,467.2075,210.7403,M-H,https://www.npatlas.org/explore/compounds/NPA000019
NPA000020,3-methyl xanthopurpurin 6-O-methyl ether 8-O-β-D-gentiobioside,591.1719,227.45857,M-H,https://www.npatlas.org/explore/compounds/NPA000020
NPA000021,Cardinalin 8,581.2392,232.20341,M-H,https://www.npatlas.org/explore/compounds/NPA000021
NPA000022,Melithiazol B,419.1104,194.97661,M-H,https://www.npatlas.org/explore/compounds/NPA000022
NPA000023,3R-(+)-5-O-[6'-O-acetyl]-α-D-glucopyranosyl-5-hydroxymellein,397.114,187.13597,M-H,https://www.npatlas.org/explore/compounds/NPA000023
NPA000024,3097-B1,278.1398,167.59975,M-H,https://www.npatlas.org/explore/compounds/NPA000024
NPA000025,Boletopsin 12,465.1191,207.50685,M-H,https://www.npatlas.org/explore/compounds/NPA000025
NPA000026,Rhodobacterioxanthin,609.4313,256.26538,M-H,https://www.npatlas.org/explore/compounds/NPA000026
NPA000027,Beauvericin E,734.4022,260.43063,M-H,https://www.npatlas.org/explore/compounds/NPA000027
NPA000028,"2,3-dihydroxy-N-methoxy-6-propylbenzamide",224.0928,147.43037,M-H,https://www.npatlas.org/explore/compounds/NPA000028
NPA000029,Daryamide C,317.1507,173.22176,M-H,https://www.npatlas.org/explore/compounds/NPA000029
NPA000030,"3α,6β,16β,17,18-pentahydroxyaphidicolane",353.2333,188.24696,M-H,https://www.npatlas.org/explore/compounds/NPA000030
NPA000031,Quinine,323.1765,177.48466,M-H,https://www.npatlas.org/explore/compounds/NPA000031
NPA000032,Cyclo(4-hydroxy-R-Pro-S-Leu),225.1244,156.09242,M-H,https://www.npatlas.org/explore/compounds/NPA000032
NPA000033,Pyrrospirone A,504.2755,212.32663,M-H,https://www.npatlas.org/explore/compounds/NPA000033
NPA000034,5-demethoxyfumagillol,251.1652,161.50974,M-H,https://www.npatlas.org/explore/compounds/NPA000034
