NPAID,Name,m/z,CCS,Adduct
NPA000001,Curvularide C,360.2745,193.4999,M+H
NPA000002,Homopetasinic acid,417.2272,209.7567,M+H
NPA000003,A-503083 F,503.1256,200.97768,M+H
NPA000004,Aqabamycin E2,326.0772,175.12677,M+H
NPA000005,Hymenopsin A,393.2272,199.72957,M+H
NPA000007,Chaetoxanthone A,371.1126,198.12492,M+H
NPA000008,Dihydroxydione 13,422.236,208.46738,M+H
NPA000009,Viticolin B,227.055,149.12428,M+H
NPA000010,Botryorhodine G,333.0969,174.38759,M+H
NPA000011,Pestapyrone B,239.055,148.91493,M+H
NPA000012,Spiroleptosphol B,337.201,185.42232,M+H
NPA000013,Not named,292.1544,168.51485,M+H
NPA000014,Falconensone A,311.2006,184.66612,M+H
NPA000016,Semiplenamide B,408.3472,207.9182,M+H
NPA000017,Macrolactin P,579.3164,228.57794,M+H
NPA000018,Lolicine A,604.3997,255.88272,M+H
NPA000019,Terreulactone C,469.2221,212.63573,M+H
NPA000020,3-methyl xanthopurpurin 6-O-methyl ether 8-O-β-D-gentiobioside,593.1865,229.1172,M+H
NPA000021,Cardinalin 8,583.2538,234.59898,M+H
NPA000022,Melithiazol B,421.125,197.33464,M+H
NPA000023,3R-(+)-5-O-[6'-O-acetyl]-α-D-glucopyranosyl-5-hydroxymellein,399.1286,189.03139,M+H
NPA000024,3097-B1,280.1544,169.96004,M+H
NPA000025,Boletopsin 12,467.1337,209.90242,M+H
NPA000026,Rhodobacterioxanthin,611.4459,258.09027,M+H
NPA000027,Beauvericin E,736.4168,262.15433,M+H
NPA000028,"2,3-dihydroxy-N-methoxy-6-propylbenzamide",226.1074,149.78838,M+H
NPA000029,Daryamide C,319.1653,175.57976,M+H
NPA000030,"3α,6β,16β,17,18-pentahydroxyaphidicolane",355.2479,190.14236,M+H
NPA000031,Quinine,325.1911,179.88023,M+H
NPA000032,Cyclo(4-hydroxy-R-Pro-S-Leu),227.139,158.45042,M+H
NPA000033,Pyrrospirone A,506.2901,214.22203,M+H
NPA000034,5-demethoxyfumagillol,253.1798,163.9053,M+H
NPA000035,Talapolyester C,501.1967,219.08583,M+H
NPA000036,Amamistatin B,716.3865,265.9363,M+H
NPA000037,Lajollamycin,688.3804,255.7768,M+H
NPA000038,AHB-6-Methylneamine,438.2559,194.99693,M+H
NPA000039,Formycin B,269.0881,158.265,M+H
NPA000041,Not named,197.1172,154.0301,M+H
NPA000042,Nocazine C,337.1547,187.85635,M+H
NPA000043,Agripilol A,273.2061,168.3102,M+H
NPA000044,Not named,293.102,176.26384,M+H
NPA000045,Z-4-2,204.0655,139.59016,M+H
NPA000046,Maltophilin,511.2803,226.06593,M+H
NPA000047,Lasalocid (X 537 A),591.3892,242.82668,M+H
NPA000048,Pestalamide C,273.1234,164.0611,M+H
NPA000049,Not named,505.1341,220.98485,M+H
NPA000050,ƞ-Isorhodomycinone,409.0918,203.15529,M+H
NPA000051,Vermelhotin,218.0812,157.2465,M+H
NPA000052,Varioxiranediol,281.1384,177.07504,M+H
NPA000053,Xentrivalpeptide C,798.476,279.24182,M+H
NPA000054,"[Asp3, ADMAdda5, Dhb7] microcystin RR",1052.5524,306.18643,M+H
NPA000055,Oxachelin,636.2624,236.74342,M+H
NPA000056,Brasilane A,426.285,209.40486,M+H
NPA000057,Terrecoumarin C,245.1172,157.31123,M+H
NPA000058,GE23077 A1/A2,804.337,257.00204,M+H
NPA000059,Farneside A,467.2752,217.4912,M+H
NPA000060,Isoaurostatin,255.0652,163.52937,M+H
NPA000061,BCA 1,367.2479,188.51259,M+H
NPA000062,7a-acetoxy-15-methoxy-10-O-methyl-deacetyldihydrobotrydial,373.2221,192.0305,M+H
NPA000063,Aspochalasin O,458.2901,226.53775,M+H
NPA000064,EH21A14,505.2909,231.91045,M+H
NPA000065,Kipukasin I,409.1242,193.6523,M+H
NPA000066,6-deoxyaflaquinolone D,270.1125,161.68504,M+H
NPA000067,Conioxepinol B,305.0656,170.51117,M+H
NPA000068,JBIR-82,495.333,228.50812,M+H
NPA000069,"(5R,5aS,9R,9aR,9bR)-9,9b-dihydroxy-6,6,9a-trimethyl-1-oxo-1,3,5,5a,6,7,8,9,9a,9b-decahydronaphtho[1,2-c]furan-5-yl hexanoate",381.2272,195.6537,M+H
NPA000070,Etrogol,207.138,148.70285,M+H
NPA000071,Inflatin B,485.2898,218.60823,M+H
NPA000072,Pyramidamycin B,184.0605,144.2705,M+H
NPA000073,5-Chloro-w-hydroxyemodin,321.0161,167.29124,M+H
NPA000074,Laxaphycin B,1395.8458,365.54727,M+H
NPA000075,Stachybocin E,825.5049,273.71967,M+H
NPA000076,Xanthoquinodin A3,573.1392,222.9778,M+H
NPA000077,(-)-acetodalmanol B,555.165,243.66867,M+H
NPA000078,Clavirolide A,333.2061,180.8131,M+H
NPA000079,25-Methylpisolactone,485.3989,219.44089,M+H
NPA000080,Not named,426.3003,210.69312,M+H
NPA000081,Macrosphelide D,343.1388,181.99557,M+H
NPA000082,Communesin E,441.2649,204.55988,M+H
NPA000083,Oxydifficidin,561.2976,224.24278,M+H
NPA000084,Talaroketal A,627.1861,249.73795,M+H
NPA000085,Pestalafuranone H,209.0809,143.95952,M+H
NPA000086,Boletinin E,405.2636,193.5584,M+H
NPA000087,Aranciamycin anhydride,725.2076,257.06235,M+H
NPA000088,Blazeispirol X,439.2843,220.67487,M+H
NPA000089,Shearinine E,600.332,246.13213,M+H
NPA000090,Oxalicumone D,411.0745,188.28545,M+H
NPA000091,Cyclonerodiol,241.2162,162.07657,M+H
