NPAID,Name,m/z,CCS,Adduct,URL
NPA000001,Curvularide C,382.2564,199.41243,M+Na,https://www.npatlas.org/explore/compounds/NPA000001
NPA000002,Homopetasinic acid,439.2091,216.16023,M+Na,https://www.npatlas.org/explore/compounds/NPA000002
NPA000003,A-503083 F,525.1075,206.89018,M+Na,https://www.npatlas.org/explore/compounds/NPA000003
NPA000004,Aqabamycin E2,348.0591,183.69208,M+Na,https://www.npatlas.org/explore/compounds/NPA000004
NPA000005,Hymenopsin A,415.2091,205.62144,M+Na,https://www.npatlas.org/explore/compounds/NPA000005
NPA000007,Chaetoxanthone A,393.0945,204.03746,M+Na,https://www.npatlas.org/explore/compounds/NPA000007
NPA000008,Dihydroxydione 13,444.2179,214.38037,M+Na,https://www.npatlas.org/explore/compounds/NPA000008
NPA000009,Viticolin B,249.0369,155.85146,M+Na,https://www.npatlas.org/explore/compounds/NPA000009
NPA000010,Botryorhodine G,355.0788,181.46681,M+Na,https://www.npatlas.org/explore/compounds/NPA000010
NPA000011,Pestapyrone B,261.0369,154.89784,M+Na,https://www.npatlas.org/explore/compounds/NPA000011
NPA000012,Spiroleptosphol B,359.1829,191.8131,M+Na,https://www.npatlas.org/explore/compounds/NPA000012
NPA000013,Not named,314.1363,174.60799,M+Na,https://www.npatlas.org/explore/compounds/NPA000013
NPA000014,Falconensone A,333.1825,191.2912,M+Na,https://www.npatlas.org/explore/compounds/NPA000014
NPA000016,Semiplenamide B,430.3291,215.20583,M+Na,https://www.npatlas.org/explore/compounds/NPA000016
NPA000017,Macrolactin P,601.2983,234.40706,M+Na,https://www.npatlas.org/explore/compounds/NPA000017
NPA000018,Lolicine A,626.3816,261.8729,M+Na,https://www.npatlas.org/explore/compounds/NPA000018
NPA000019,Terreulactone C,491.204,218.41365,M+Na,https://www.npatlas.org/explore/compounds/NPA000019
NPA000020,3-methyl xanthopurpurin 6-O-methyl ether 8-O-β-D-gentiobioside,615.1684,235.26862,M+Na,https://www.npatlas.org/explore/compounds/NPA000020
NPA000021,Cardinalin 8,605.2357,240.63243,M+Na,https://www.npatlas.org/explore/compounds/NPA000021
NPA000022,Melithiazol B,443.1069,203.42778,M+Na,https://www.npatlas.org/explore/compounds/NPA000022
NPA000023,3R-(+)-5-O-[6'-O-acetyl]-α-D-glucopyranosyl-5-hydroxymellein,421.1105,195.13202,M+Na,https://www.npatlas.org/explore/compounds/NPA000023
NPA000024,3097-B1,302.1363,176.86641,M+Na,https://www.npatlas.org/explore/compounds/NPA000024
NPA000025,Boletopsin 12,489.1156,215.9417,M+Na,https://www.npatlas.org/explore/compounds/NPA000025
NPA000026,Rhodobacterioxanthin,633.4278,263.78873,M+Na,https://www.npatlas.org/explore/compounds/NPA000026
